"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","dataset","epochs","finetune_epochs","learning_rate","lr","lr_backbone","lr_head","method","metric.goal","metric.name","model","name","optimizer","parameters.finetune_epochss","parameters.lr_backbone.distribution","parameters.lr_backbone.max","parameters.lr_backbone.min","parameters.lr_head.distribution","parameters.lr_head.max","parameters.lr_head.min","parameters.model","parameters.optimizers","parameters.unfreeze_layerss","parameters.warmup_epochss","parameters.weight_decays","phase","unfreeze_layers","unfrozen_layers","warmup_epochs","weight_decay","best_val_acc","best_val_f1_macro","epoch","epoch_time_s","test","train/acc","train/accuracy","train/loss","val/acc","val/f1_macro","val/loss","valid/accuracy","valid/loss"
"ConvNeXt-Small_lr6e-03_wd0.1_unfreeze3_AdamW","finished","-","","","2026-04-18T14:17:12.000Z","1130","5urpalx3","","","","","10","","","0.000019399114846304784","0.00634576665369671","","","","ConvNeXt-Small","","AdamW","","","","","","","","","","","","","2","3","","3","0.1","0.9646666666666668","0.9646714526655276","13","99.85059428215028","","0.9262981574539364","","0.214741663155245","0.9646666666666668","0.9646714526655276","0.11296208249528872","",""
"ConvNeXt-Small_lr2e-03_wd0.05_unfreeze3_AdamW","finished","-","","","2026-04-18T13:56:59.000Z","1209","5urpalx3","","","","","10","","","0.00007791740512257713","0.0017480951806192586","","","","ConvNeXt-Small","","AdamW","","","","","","","","","","","","","2","3","","5","0.05","0.9586666666666668","0.9585183482121123","15","99.5687448978424","","0.9343383584589616","","0.19616290411733567","0.9446666666666668","0.9439024336514678","0.16541401732126573","",""
"ConvNeXt-Small_lr6e-03_wd0.1_unfreeze3_AdamW","finished","-","","","2026-04-18T13:36:50.000Z","1207","5urpalx3","","","","","10","","","0.0000927355803408932","0.005971393287354002","","","","ConvNeXt-Small","","AdamW","","","","","","","","","","","","","2","3","","5","0.1","0.9593333333333334","0.9593329579815664","15","100.06125736236572","","0.9323283082077052","","0.2076252500744576","0.958","0.9576073549918604","0.14172450590562452","",""
"ConvNeXt-Small_lr9e-03_wd0.1_unfreeze3_SGD","finished","-","","","2026-04-18T13:21:21.000Z","927","5urpalx3","","","","","8","","","0.00005279645341935697","0.009367557178204604","","","","ConvNeXt-Small","","SGD","","","","","","","","","","","","","2","3","","3","0.1","0.9006666666666666","0.901264245848816","11","99.1801106929779","","0.8174204355108877","","0.6366135471678794","0.8746666666666667","0.873115576277526","0.4124366792434074","",""
"ConvNeXt-Small_lr1e-02_wd0.05_unfreeze3_SGD","finished","-","","","2026-04-18T13:02:39.000Z","1117","5urpalx3","","","","","10","","","0.000017180206076047558","0.009569042107734625","","","","ConvNeXt-Small","","SGD","","","","","","","","","","","","","2","3","","3","0.05","0.9266666666666666","0.927375620549313","13","98.5308907032013","","0.8425460636515912","","0.5611151412446448","0.9233333333333332","0.9236315932190874","0.3064078826536524","",""
"ConvNeXt-Small_lr2e-03_wd0.1_unfreeze3_SGD","finished","-","","","2026-04-18T12:42:47.000Z","1187","5urpalx3","","","","","10","","","0.000003638204244257144","0.0022861100917665575","","","","ConvNeXt-Small","","SGD","","","","","","","","","","","","","2","3","","5","0.1","0.8446666666666667","0.8453270449573045","15","98.15259146690369","","0.7721943048576214","","1.230917695989","0.8446666666666667","0.8453270449573045","1.07871120977909","",""
"ConvNeXt-Small_lr3e-03_wd0.1_unfreeze3_SGD","finished","-","","","2026-04-18T12:22:44.000Z","1200","5urpalx3","","","","","10","","","0.0000015895583586468426","0.0031198806501434584","","","","ConvNeXt-Small","","SGD","","","","","","","","","","","","","2","3","","5","0.1","0.7886666666666666","0.7873841064578603","15","98.25111675262453","","0.7380234505862646","","1.5059431601077953","0.7886666666666666","0.7873841064578603","1.3940200564709115","",""
"ConvNeXt-Small_lr3e-03_wd0.1_unfreeze3_SGD","finished","-","","","2026-04-18T12:05:54.000Z","1004","5urpalx3","","","","","8","","","0.0000028544363398328696","0.0025822799718600536","","","","ConvNeXt-Small","","SGD","","","","","","","","","","","","","2","3","","5","0.1","0.7913333333333333","0.791787160151647","13","98.87278032302856","","0.7547738693467336","","1.4393870855899566","0.7913333333333333","0.791787160151647","1.323666216211116","",""
"ConvNeXt-Small_lr4e-03_wd0.01_unfreeze0_SGD","finished","-","","","2026-04-18T11:57:26.000Z","501","5urpalx3","","","","","8","","","0.000002767212869651924","0.0035496109481914007","","","","ConvNeXt-Small","","SGD","","","","","","","","","","","","","2","0","","5","0.01","0.6006666666666667","0.556572043678066","13","36.974998235702515","","0.6117252931323283","","1.770693858887287","0.6006666666666667","0.556572043678066","1.803084767879324","",""
"ConvNeXt-Small_lr1e-03_wd0.05_unfreeze0_SGD","finished","-","","","2026-04-18T11:48:53.000Z","509","5urpalx3","","","","","8","","","0.000005101132020218268","0.0010640395399195888","","","","ConvNeXt-Small","","SGD","","","","","","","","","","","","","2","0","","5","0.05","0.406","0.3473041964915867","13","37.62435460090637","","0.4274706867671692","","2.2882209534340716","0.406","0.3473041964915867","2.3586087962414357","",""
